,en,ko,fr,es,de
,,,,,
Global,,,,,
Masthead,Business Self-assessment Tool,코그너티브 비즈니스 자가진단 도구,Outil d'auto-évaluation,Herramienta de autoevaluación empresarial,Self-Assessment Tool
,,,,,
Breadcrumb,,,,,
,About Your Business,귀사의 비즈니스,À propos de votre activité,Acerca de su empresa,Details zu Ihrem Unternehmen
,Software Usage,소프트웨어 사용 여부,Utilisation de logiciels,Uso de software,Software-Nutzung
,Cognitive Technology,코그너티브 기술,Technologie cognitive,Tecnología cognitiva,Kognitive Technologie
,,,,,
Navigation,,,,,
,Next Question,다음 질문,Question suivante,Siguiente pregunta,Nächste Frage
,Back,뒤로,Retour,Volver,Zurück
,See Results,결과 보기,Afficher les résultats,Ver resultados,Ergebnisse ansehen
,,,,,
Levels,,,,,
,Assess,평가,Évaluation,Evaluar,Beurteilen
,Learn,학습,Apprentissage,Conocer,Lernen
,Build,구축,Assemblage,Diseñar,Aufbauen
,Roll Out,배포,Sortie,Lanzar,Ausbauen
Footer,,,,,
,ibm.com,ibm.com,ibm.com,ibm.com,Ibm.com
,Privacy,개인정보보호,Confidentialité,Privacidad,Vertraulichkeit
,Terms of use,이용 약관,Conditions d'utilisation,Términos de uso,Nutzungsbedingungen
,Accessibility,접근성,Accessibilité,Accesibilidad,Zugang
,© 2015 IBM,© 2015 IBM,© 2015 IBM,© 2015 IBM,© 2015 IBM
,,,,,
Introduction,,,,,
Title,Where are you in your journey to cognitive business operations?,귀사는 얼마나 코그너티브 시대에 대비하고 있습니까?,Où en êtes-vous dans votre transition vers des opérations cognitives ?,¿En dónde se encuentra en su transición hacia las operaciones empresariales cognitivas?,Wie weit sind Sie auf Ihrer Reise zu Cognitive Business Operations?
Abstract,Take this three minute assessment to find out where you are and what to do next to transform your business operations with cognitive technology.,"3분만 투자하여, 코그너티브 시대로 변화하기 위한 귀사의 준비 상황을 확인하고, 앞으로의 계획을 수립해 보십시오",Prenez ces trois minutes d'évaluation pour savoir où vous en êtes et connaître les actions à entreprendre pour transformer votre activité avec les technologies cognitives.,Responda esta evaluación de tres minutos para descubrir en dónde se encuentra y qué hacer para transformar sus operaciones empresariales con la tecnología cognitiva.,"Nehmen Sie sich 3 Minuten Zeit für dieses Assessment. Sehen Sie wo Sie auf Ihrem Weg stehen und was die nächsten Schritte sein können, um Ihre Geschäftsprozesse mit kognitiver Technologie zu ergänzen."
Button,Start Now,시작하기,Démarrer,Comenzar ahora,Jetzt starten
Shape Title,With cognitive business operations you can:,코그너티브 비즈니스 오퍼레이션은 귀사에 다음과 같은 역량을 제공합니다,Les opérations cognitives permettent de :,"Con las operaciones empresariales cognitivas, puede:",Mit kognitiver Technologie können Sie
Bullet 1,Better self-adapt and innovate,시장 대응력 향상 및 혁신,S'adapter et d'innover au mieux ;,Innovar y adaptarse mejor,sich besser an Neuerungen anpassen und diese einfacher einführen
Bullet 2,Discover insights from dark data,분석되지 않은 다크 데이터로부터 통찰력 확보,"Découvrir des perspectives à partir des ""dark data"";",Descubrir información a partir de datos secundarios,neue Erkenntnisse durch die Analyse von bisher unbekannten Daten bekommen
Bullet 3,Empower your team with unparalleled knowledge,비교할 수 없는 전문지식으로 팀 역량 강화,Donner à son équipe des connaissances inégalées.,Fortalecer a su equipo con información excepcional,Ihr Team mit einmaligem Wissen ausstatten
,,,,,
Questions and Answers,,,,,
Q1,Where are you located?,어느 지역에 계십니까?,Quelle est votre position géographique ?,¿En dónde se encuentra?,Wo sind Sie?
Q1-A1,Africa,아프리카,Afrique,África,Afrika
Q1-A2,Asia Pacific,아시아 태평양,Asie-Pacifique,Región Asia-Pacífico,Asien / Pazifik
Q1-A3,China,중국,Chine,China,China
Q1-A4,Europe,유럽,Europe,Europa,Europa
Q1-A5,Japan,일본,Japon,Japón,Japan
Q1-A6,Latin America,남아메리카,Amérique Latine,América Latina,Lateinamerika
Q1-A7,Middle East,중동,Moyen-Orient,Oriente Medio,Mittlerer Osten
Q1-A8,North America,북아메리카,Amérique du Nord,América del Norte,Nordamerika
,,,,,
Q2,What is your company's industry?,귀사는 어떤 산업군에 속해 있습니까?,Dans quel secteur œuvre votre entreprise ?,¿Cuál es la industria de su compañía?,Zu welchem Industriezweig gehört Ihr Unternehmen?
Q2-A1,Automotive,자동차,Automobile,Automoción,Automotive
Q2-A2,Communications,통신,Communications,Comunicaciones,Kommunikation
Q2-A3,Consumer Products,일반 소비재,Distribution,Productos para el consumidor,Konsumgüter
Q2-A4,Education,교육,Éducation,Educación,Bildung
Q2-A5,Energy & Utilities,에너지 및 유틸리티,Énergie et environnement,Energía y servicios públicos,Energie & Betriebsstoffe
Q2-A6,Financial Services,금융 서비스,Services financiers,Servicios financieros,Finanzdienstleistungen
Q2-A7,Government,정부,Gouvernement,Gobierno,Regierung
Q2-A8,Healthcare,의료,Santé,Atención médica,Gesundheitswesen
Q2-A9,Insurance,보험,Assurance,Seguro,Versicherungen
Q2-A10,Manufacturing,제조,Production industrielle,Fabricación,Produzierendes Gewerbe
Q2-A11,Pharmaceuticals,의약,Produits pharmaceutiques,Farmacéutica,Pharmazeutik
Q2-A12,Retail,소매,Commerce de détail,Venta al por menor,Einzelhandel
Q2-A13,Travel and Transportation,여행,Transport et Tourisme,Viajes y transportes,Reisen und Transport
Q2-A14,Other,기타,Autre,Otro,Andere
,,,,,
Q3,Which title most closely matches your current role?,어떤 역할을 담당하고 계십니까? (딱 맞는 역할이 없다면 가장 비슷한 역할을 선택하십시오),Quel poste décrirait le mieux votre rôle actuel ?,¿Qué puesto coincide mejor con su rol actual?,Welcher Titel kommt Ihrer derzeitigen Position am nächsten?
Q3-A1,Chief Innovation Officer,CIO (최고혁신책임자),Directeur / Responsable de l'innovation,Director de innovación,Leiter Innovation
Q3-A2,Chief Operation Officer,COO (최고운영책임자),Directeur / Responsable des opérations,Director de operaciones,Betriebsleiter
Q3-A3,Chief Technology Officer,CTO(최고기술책임자),Directeur technique,Director de tecnología,Technischer Leiter
Q3-A4,Other C-Level Executive,기타 경영진 및 임원,Autre cadre,Director ejecutivo de otro tipo,Andere Führungsposition
Q3-A5,Business Analyst,비즈니스 분석가,Directeur Fonctionnel,Analista de negocios,Business Analyst
Q3-A6,Developer,개발자,Développeur,Desarrollador,Entwickler
Q3-A7,IT Architect,IT 아키텍트,Architecte informatique,Arquitecto de TI,IT Architekt
Q3-A8,Process Designer,프로세스 설계자,Concepteur de processus,Diseñador de procesos,Prozessdesigner
Q3-A9,Strategy Manager,전략 및 기획 담당자,Directeur de la stratégie,Gerente de estrategia,Strategischer Leiter
Q3-A10,Other Professional,기타 (업무 전문가),Autre professionnel,Otro profesional,Andere Fachfunktion
,,,,,
Q4,How many employees does your company have?,귀사의 직원은 몇 명입니까?,Combien d'employé(e)s compte votre entreprise ?,¿Cuántos empleados tiene su empresa?,Wie viele Mitarbeiter hat Ihr Unternehmen?
Q4-A1,0-99,0~99명,0-99,0-99,0-99
Q4-A2,100-499,100~499명,100-499,100-499,100-499
Q4-A3,500-999,500~999명,500-999,500-999,500-999
Q4-A4,"1,000+","1,000명 이상",Plus de 1000,Más de 1000,1.000+
,,,,,
Q5,What types of software does your business use? (Select all that apply),어떤 소프트웨어를 사용하고 계십니까? (복수 선택 가능),Quel(s) type(s) de logiciel votre entreprise utilise-t-elle (plusieurs réponses possibles)?,¿Qué tipo de software utiliza su empresa? (Seleccione todo lo que corresponda),Welche Software nutzen Sie in Ihrem Unternehmen? (Alle Zutreffenden auswählen)
Q5-A1,Process Management,비즈니스 프로세스 관리,Gestion de processus,Gestión de procesos,Management von Prozessen
Rollover Text,"Process management solutions enable business professionals to document, automate, manage, and continuously improve business processes to increase efficiency and reduce costs.","비즈니스 프로세스 관리 솔루션은 업무 전문가들이 효율성을 극대화하고 비용을 최소화하기 위해 비즈니스 프로세스를 문서화, 자동화, 관리 및 지속적으로 개선할 수 있게 해줍니다.","Les solutions de gestion de processus permettent aux professionnels de constamment renseigner, automatiser, gérer et améliorer les processus de l'activité pour augmenter leur efficacité et réduire leurs coûts.","Las soluciones de gestión de procesosles permiten a los profesionales empresariales documentar, automatizar, gestionar y mejorar continuamente los procesos empresariales para aumentar la eficiencia y reducir loscostes.","Mit Hilfe von Prozess-Managementlösungen können Fachbereiche durch Dokumentation, Automatisierung und Verwaltung von Geschäftsabläufen, ihre Effektivität steigern und Kosten reduzieren."
Q5-A2,Decision Management,업무적 의사결정 관리,Gestion de décisions,Gestión de decisiones,Management von Entscheidungen
Rollover Text,"Decision management solutions enable business professionals to manage and automate repeatable business rules, events and operational decisions that impact business performance.","업무적 의사결정 관리 솔루션은 업무 전문가들이 수익을 극대화할 수 있도록, 반복 가능한 비즈니스 룰, 이벤트 및 업무적 의사결정을 관리하고 자동화할 수 있게 해줍니다.","Les solutions de gestion de décisions permettent aux professionnels de gérer et d'automatiser les règles commerciales, événements et décisions d'exploitation répétables qui ont un impact sur le rendement de l'activité.","Las soluciones de gestión de decisiones les permiten a los profesionales empresariales gestionar y automatizar eventos, decisiones operativas y reglas de negocios que se repiten e impactan en el rendimiento de la empresa.",Mit Entscheidungsmanagement-Lösungen können Fachbereiche wiederholende Geschäftsregeln und Entscheidungen verwalten und automatisieren.
Q5-A3,Cognitive Software,코그너티브 소프트웨어,Logiciel cognitif,Software cognitivo,Kognitive Software
Rollover Text,A category of technologies that uses natural language processing and machine learning to enable people and machines to interact more naturally. These technologies extend and magnify human expertise and cognition.,"사람과 머신이 자연스럽게 상호작용할 수 있도록, 머신에서 자연어 처리 및 학습을 가능하게 하는 기술을 의미합니다. 이를 통해 인간의 전문지식과 인지 컴퓨팅 능력을 극대화합니다.",C'est une catégorie de technologies qui combine le traitement de langage naturel et l'apprentissage automatique dans l'optique de rendre l'interaction homme-machine plus naturelle. Ces technologies étendent et renforcent l'expertise et les capacités cognitives de l'humain.,Una categoría de tecnologías que usa el procesamiento de lenguajes naturales y aprendizaje automático para que las personas y las máquinas interactúen de manera más natural. Estas tecnologías incrementan y magnifican la experiencia y la cognición humana.,"Eine Kategorie von Technologien, die natürliche Sprachverarbeitung und maschinelles Lernen verwendet, um es Menschen und Maschinen zu ermöglichen, natürlicher zu interagieren. Diese Technologien erweitern und vergrößern die menschliche Expertise und Wahrnehmung."
Q5-A4,None of these,,Aucune de ces réponses,Ninguno de estos,Keins davon
Rollover Text,,,,,
,,,,,
Q5a0,,,,,
Q5a0-A1,IBM Business Process Manager,IBM Business Process Manager,IBM Business Process Manager,Gerente de procesos empresariales de IBM,IBM Business Process Manager
Q5a0-A2,Other business process software,타사 BPM 솔루션,Autre logiciel de gestion des processus métiers,Software de procesos empresariales de otro tipo,Andere Geschäftsprozess-Software
,,,,,
Q5a1,,,,,
Q5a1-A1,IBM Operational Decision Manager,IBM Operational Decision Manager,IBM Operational Decision Manager,Gerente de decisiones operativas de IBM,IBM Operational Decision Manager
Q5a1-A2,Other business rules software,타사 비즈니스 룰 솔루션,Autre logiciel de gestion des règles métiers,Software de reglas empresarialesde otro tipo,Andere Software für Geschäftsregeln
,,,,,
Q5a2,,,,,
Q5a2-A1,IBM Watson,IBM Watson,IBM Watson,IBM Watson,IBM Watson
Q5a2-A2,Other Cognitive Software,타사 코그너티브 솔루션,Autre logiciel cognitif,Software cognitivo de otro tipo,Andere kognitive Software
,,,,,
Q5a2a0,Are you using IBM Watson or other cognitive software in conjunction with your process or decision technology?,귀사가 사용하는 IBM Watson 또는 타사 코그너티브 솔루션은 귀사의 프로세스 또는 의사결정 기술과 연계되어 있습니까?,Utilisez-vous IBM Watson ou un autre logiciel cognitif parallèlement à vos technologies de processus ou de décisions ?,¿Utiliza IBM Watson u otro software cognitivo en conjunto con su tecnología de procesos o decisiones?,Verwenden Sie IBM Watson oder andere kognitive Software zusammen mit Ihrer Prozess- oder Entscheidungstechnologie?
Q5a2a0-A1,Yes,예,Oui,Sí,Ja
Q5a2a0-A2,No,아니요,Non,No,Nein
,,,,,
Q5a2a0a0,To what extent?,어느 정도로 활용되고 있습니까?,Dans quelle mesure ?,¿En qué medida?,In wie fern?
Q5a2a0a0-A1,For select projects,단위 프로젝트,Pour des projets précis,Para ciertos proyectos,Für ausgewählte Projekte
Q5a2a0a0-A2,Enterprise wide,전사적 적용,Pour toute l'entreprise,En toda la empresa,Unternehmensweit
,,,,,
Q6,How familiar are you with cognitive technology?,귀하는 코그너티브 기술에 대해 얼마나 알고 계십니까?,Êtes-vous à l'aise avec les technologies cognitives ?,¿Qué tan familiarizado está con la tecnología cognitiva?,Wie vertraut sind Sie mit kognitiver Technologie?
Q6-A1,Not at all,전혀 모른다,Pas du tout,Para nada familiarizado,Gar nicht
Q6-A2,Somewhat,약간 알고 있다,Un peu,Algo familiarizado,Etwas
Q6-A3,Very,잘 알고 있다,Totalement,Muy familiarizado,Sehr
,,,,,
Q7,To what extent do you believe cognitive technologies can improve your business operations?,귀하는 코그너티브 기술이 얼마나 귀사의 비즈니스 업무 방식을 개선할 수 있다고 생각하십니까?,"Selon vous, dans quelle mesure les technologies cognitives peuvent-elles améliorer vos activités commerciales ?",¿En qué medida cree que las tecnologías cognitivas pueden mejorar sus operaciones empresariales?,In welchem Maß können kognitive Technologien Ihrer Meinung nach Ihren Geschäftsbetrieb verbessern?
Q7-A4,I don't know,잘 모른다,Je l'ignore,No lo sé,Ich weiß nicht
Q7-A1,Not at all,전혀 개선할 수 없다,Pas du tout,Para nada,Gar nicht
Q7-A2,Somewhat,약간 개선할 수 있다,Un peu,Un poco,Etwas
Q7-A3,A lot,많이 개선할 수 있다,Énormément,Mucho,Sehr viel
,,,,,
Q8,What do you anticipate being the biggest barrier for you to adopt cognitive business operations? (Select all that apply),"코그너티브 비즈니스 오퍼레이션을 귀사에 적용하고자 한다면, 어떤 영역이 극복해야 할 과제라고 생각하십니까? (복수 선택 가능)","Selon vous, quel serait le plus gros frein à l'adoption des opérations cognitives dans votre entreprise (cocher les cases appropriées)?",¿Cuál cree que será el obstáculo más grande en elmomento de adoptar operaciones empresariales cognitivas? (Seleccione todo lo que corresponda),"Was ist Ihrer Meinung nach das größte Hindernis für Sie, um kognitive Geschäftsabläufe anzuwenden? (Alles Zutreffende auswählen)"
Q8-A1,My company is too small to implement this type of operation.,회사 규모가 너무 작아서 적용할 수 없다,Mon entreprise est trop petite pour mettre en œuvre ce type d'exploitation.,Mi empresa es demasiado pequeña para implementar este tipo de operación.,"Mein Unternehmen ist zu klein, um diese Betriebsabläufe umzusetzen."
Q8-A2,The solution is too expensive.,솔루션이 너무 비싸다,La solution est trop chère.,La solución es muy cara.,Die Lösung ist zu teuer
Q8-A3,"The solution is too new, risky, and/or under-developed.","솔루션이 너무 새롭고, 위험하며, 아직 개발이 덜 되어 있는 것 같다","La solution est trop récente, risquée et/ou sous-développée.","La solución es muy nueva, arriesgadao se encuentra en vías de desarrollo.","Die Lösung ist zu neu, riskant und/oder noch nicht ausgereift."
Q8-A4,I don't want robots to take over the world.,나는 로봇이 세상을 지배하는 것을 원하지 않는다,Je ne veux pas d'un monde dirigé par des robots.,No quiero que los robots tomen el control del mundo.,"Ich will nicht, dass Roboter die Welt übernehmen."
Q8-A5,Decision-makers or influencers within my company would not support it.,우리 회사의 의사결정권자나 다른 고위 임원들이 지지하지 않을 것이다,Les responsables ou personnes influentes de mon entreprise ne soutiendront pas le projet.,Las personas influyentes o que toman las decisiones dentro de mi empresa no lo aprobarían.,Entscheidungsträger oder Einflussnehmer in meinem Unternehmen unterstützen das nicht.
Q8-A6,Other,기타,Autre,Otro,Andere
Input Placeholder,Enter your own answer,본인의 생각을 기재해 주십시오,Écrivez votre propre réponse ici,Escribasu propia respuesta,Tragen Sie Ihre eigene Antwort ein.
,,,,,
Q9,What are your goals in applying cognitive technologies to your business operations? (Select all that apply),귀사의 비즈니스에 코그너티브 기술을 적용하고자 하는 목적은 무엇입니까? (복수 선택 가능),À quelle(s) fin(s) aimeriez-vous utiliser les technologies cognitives dans vos activités commerciales (cocher les cases appropriées) ?,¿Cuáles son sus objetivos al implementar tecnologías cognitivas en sus operaciones empresariales? (Seleccione todo lo que corresponda),Welche Ziele haben Sie hinsichtlich der Anwendung von kognitiven Technologien in Ihren Betriebsabläufen? (Alles Zutreffende auswählen)
Q9-A1,Evolve customer self-service,고객 서비스 강화,Faire évoluer le libre-service des clients,Mejorar el autoservicio del cliente,Entwicklung zur Selbstbedienung der Kunden
Rollover Text,Enable intelligent systems to serve customers while minimizing manual handling of service exceptions.,"예외 사항에 대한 수작업 취급을 최소화하여, 지능화된 시스템들이 고객들을 응대",Permettre aux systèmes intelligents de servir le client tout en réduisant au mieux la gestion manuelle d'exceptions de service.,"Permitir que los sistemas inteligentes ayuden a los clientes y, al mismo tiempo, minimizar el manejo manual de excepciones del servicio.","Befähigen Sie intelligente Systeme dazu, Kunden zu bedienen und greifen Sie nur noch in Ausnahmefällen manuell ein."
Q9-A2,Enhance the abilities of knowledge workers,업무 전문가들의 능력 향상,Renforcer les capacités des employés compétents,Mejorar las capacidades de los trabajadores cualificados.,Aufwertung der Fähigkeiten meiner Mitarbeiter
Rollover Text,Augment your employees’ skills with actionable information at the right moment.,적절한 시기에 적절한 조치를 취하여 직원 기술 향상,Améliorer les compétences des employés avec des informations utiles au moment opportun.,Aumentar las habilidades de sus empleados brindándoles información factible en el momento adecuado.,Verbessern Sie die Fähigkeiten Ihrer Mitarbeiter durch die Verfügbarkeit von wertvollen Informationen an der richtigen Stelle.
Q9-A3,Automate back office functions,백오피스 기능 자동화,Automatiser les fonctions de back office,Automatizar las funciones administrativas.,Automatisierung von Backoffice-Funktionen
Rollover Text,Adaptive automation that combines with workflow and business rules.,워크플로우와 비즈니스 룰을 결합하여 프로세스 자동화,Automatiser de manière adaptative et équilibrée l'exploitation avec le flux de travail et les règles commerciales.,Automatización flexible que combina el flujo de trabajo con las reglas empresariales.,"Adaptive Automation, die den Arbeitsfluss mit Geschäftsregeln kombiniert."
Q9-A4,"Consume and leverage unstructured “dark” data (video, social, etc.)","구조화되지 않은 다크 데이터(비디오, 소셜 등) 활용","Consommer et tirer parti de données non structurées dite ""dark data"" (vidéos, sociales, etc.)","Consumir y aprovechar los datos “secundarios” sin estructura (videos, redes sociales, etc.).","Nutzung und Einsatz von „verdeckten Daten“ (wie Videos, Daten aus sozialen Netzwerken)"
Rollover Text,Use cognitive understanding to uncover trends from previously inaccessible data.,과거에 접근할 수 없었던 데이터로부터 트렌드를 파악하기 위해 코그너티브 기술 활용,Utiliser la compréhension cognitive pour repérer des tendances dans des données auparavant illisibles.,Usar el entendimiento cognitivo para descubrir tendencias a partir de datos que antes no eran accesibles.,Verwendung von kognitiven Zusammenhängen zur Enthüllung von Trends aus zuvor unzugänglichen Daten.
Q9-A5,I don't know,잘 모름,Je l'ignore,No lo sé,Ich weiß nicht
Q9-A6,Other,기타,Autre,Otro,Andere
Input Placeholder,Enter your own answer,본인의 생각을 기재해 주십시오,Écrivez votre propre réponse ici,Escribasu propia respuesta,Tragen Sie Ihre eigene Antwort ein.
,,,,,
Q10,Do you already have a use case in mind for implementing Cognitive Technologies?,코그너티브 기술을 활용하고자 하는 적용 시나리오(Use Case)가 있습니까?,Avez-vous déjà en tête un cas d'usage de mise en œuvre des technologies cognitives ?,¿Ya tiene un caso de uso en mente para implementar las tecnologías cognitivas?,Haben Sie in Ihrem Unternehmen bereits einen Anwendungsfall zur Umsetzung mit kognitiver Technologie?
Q10-A1,Yes,예,Oui,Sí,Ja
Input Placeholder,Please let us know about it.,그것에 대해 알려 주십시오,Veuillez développer.,Cuéntenos sobre él.,Sprechen Sie mit uns darüber.
Q10-A2,No,아니요,Non,No,Nein
,,,,,
Cloud Marketplace Bar - on all results pages,Want to head back to explore the foundations for Cognitive Business Operations?,코그너티브 비즈니스 오퍼레이션을 위한 기반 솔루션을 자세히 보시겠습니까?,Souhaitez-vous étudier à nouveau les possibilité liées aux capacités de Cognitive Business Operations?,¿Quiere regresar a explorar las bases de las operaciones empresariales cognitivas?,Wollen Sie die Grundlagen von Cognitive Business Operations erkunden?
,Explore process modeling,비즈니스 프로세스 모델링,Étudier la modélisation des processus,Explorar el modelado de procesos,Prozessmodellierung
,Explore business rules,비즈니스 룰,Étudier les règles commerciales,Explorar las reglas empresariales,Geschäftsregeln
,Explore process management,비즈니스 프로세스 관리,Étudier la gestion de processus,Explorar la gestión del proceso,Prozessmanagement
,,,,,
Learn,,,,,
Title,You’ve taken the first step!,귀하는 이제 이해하기 시작했습니다!,Vous avez fait le premier pas !,¡Ya ha dado el primer paso!,Sie haben den ersten Schritt getan!
